report_date,campaign_id,spend,impressions,clicks,conversion,complete_payment,value_per_complete_payment,derived_complete_payment_value,complete_payment_roas
2026-03-19,1854347729644690,332721,155556,948,1,1,234000,234000,0.7
2026-03-19,1854918885396689,276038,113848,5783,2,2,575000,1150000,4.17
2026-03-19,1856156648605858,100510,22425,4233,1,1,239650,239650,2.38
2026-03-19,1856728035726529,0,0,0,0,0,0,0,0
2026-03-19,1858788275666081,99530,69250,2207,0,0,0,0,0
2026-03-20,1854347729644690,600000,419425,1352,2,2,139650,279300,0.47
2026-03-20,1854918885396689,276342,76613,5766,5,5,190380,951900,3.44
2026-03-20,1856156648605858,99563,39957,4693,0,0,0,0,0
2026-03-20,1856728035726529,0,0,0,0,0,0,0,0
2026-03-20,1858788275666081,99947,63510,2151,0,0,0,0,0
2026-03-21,1854347729644690,595499,349378,1318,1,1,459000,459000,0.77
2026-03-21,1854918885396689,273835,175169,3549,0,0,0,0,0
2026-03-21,1856156648605858,99169,51008,3294,1,1,245000,245000,2.47
2026-03-21,1856728035726529,0,0,0,0,0,0,0,0
2026-03-21,1858788275666081,99340,101029,1998,2,2,145353,290706,2.93
2026-03-22,1854347729644690,486089,330022,1228,3,3,601133,1803399,3.71
2026-03-22,1854918885396689,275390,135526,5119,2,2,669100,1338200,4.86
2026-03-22,1856156648605858,95473,34648,3799,2,2,969500,1939000,20.31
2026-03-22,1856728035726529,0,0,0,0,0,0,0,0
2026-03-22,1858788275666081,100189,61153,832,3,3,157638,472914,4.72
2026-03-23,1854347729644690,600000,354027,1381,5,5,1050000,5250000,8.75
2026-03-23,1854918885396689,345000,139756,3880,9,9,736568,6629112,19.21
2026-03-23,1856156648605858,98250,25335,2418,1,1,84920,84920,0.86
2026-03-23,1856728035726529,0,0,0,0,0,0,0,0
2026-03-23,1858788275666081,100194,90519,801,2,2,4180000,8360000,83.44
2026-03-24,1854347729644690,595331,155011,788,7,7,3715057,26005399,43.68
2026-03-24,1854918885396689,183767,87728,2046,0,0,0,0,0
2026-03-24,1856156648605858,103690,35558,2664,0,0,0,0,0
2026-03-24,1856728035726529,0,0,0,0,0,0,0,0
2026-03-24,1858788275666081,100304,57394,1589,1,1,510000,510000,5.08
2026-03-25,1854347729644690,294957,65044,460,5,5,1553522,7767610,26.33
2026-03-25,1854918885396689,300278,115433,5855,1,1,505000,505000,1.68
2026-03-25,1856156648605858,102682,40941,1876,3,3,165000,495000,4.82
2026-03-25,1856728035726529,0,0,0,0,0,0,0,0
2026-03-25,1858788275666081,100239,22466,3386,0,0,0,0,0
2026-03-26,1854347729644690,595480,171820,1579,8,8,613247,4905976,8.24
2026-03-26,1854918885396689,276408,130848,3678,3,3,408236,1224708,4.43
2026-03-26,1856156648605858,72014,38990,1240,2,2,249955,499910,6.94
2026-03-26,1856728035726529,0,0,0,0,0,0,0,0
2026-03-26,1858788275666081,99973,35457,1647,0,0,0,0,0
2026-03-27,1854347729644690,127660,38454,290,4,4,5686250,22745000,178.17
2026-03-27,1854918885396689,275941,115747,4609,2,2,254100,508200,1.84
2026-03-27,1856156648605858,122783,40309,2572,0,0,0,0,0
2026-03-27,1856728035726529,0,0,0,0,0,0,0,0
2026-03-27,1858788275666081,99884,33725,1649,0,0,0,0,0
2026-03-28,1854347729644690,327532,111087,548,5,5,901332,4506660,13.76
2026-03-28,1854918885396689,275216,193053,2129,3,3,888066,2664198,9.68
2026-03-28,1856156648605858,103612,51562,1044,3,3,270000,810000,7.82
2026-03-28,1856728035726529,0,0,0,0,0,0,0,0
2026-03-28,1858788275666081,99217,95555,1231,6,6,445000,2670000,26.91
2026-03-29,1854347729644690,223990,99670,612,2,2,750000,1500000,6.7
2026-03-29,1854918885396689,277129,140992,3194,3,3,748100,2244300,8.1
2026-03-29,1856156648605858,72091,47260,762,2,2,359500,719000,9.97
2026-03-29,1856728035726529,0,0,0,0,0,0,0,0
2026-03-29,1858788275666081,79505,27023,980,1,1,62120,62120,0.78
2026-03-30,1854347729644690,600000,188669,4901,10,10,3621800,36218000,60.36
2026-03-30,1854918885396689,345000,110759,4357,4,4,1629355,6517420,18.89
2026-03-30,1856156648605858,122552,24105,1851,0,0,0,0,0
2026-03-30,1856728035726529,0,0,0,0,0,0,0,0
2026-03-30,1858788275666081,120788,74453,1818,0,0,0,0,0
2026-03-31,1854347729644690,556446,189973,2978,14,14,6008962,84125468,151.18
2026-03-31,1854918885396689,278418,114387,2411,4,4,22172142,88688568,318.54
2026-03-31,1856156648605858,105430,30085,1663,1,1,64385,64385,0.61
2026-03-31,1856728035726529,0,0,0,0,0,0,0,0
2026-03-31,1858788275666081,100341,54413,1025,1,1,81200,81200,0.81
2026-04-01,1854347729644690,295769,143771,2354,8,8,526279,4210232,14.23
2026-04-01,1854918885396689,315655,102400,5008,8,8,530002,4240016,13.43
2026-04-01,1856156648605858,101880,39279,720,2,2,331831,663662,6.51
2026-04-01,1856728035726529,0,0,0,0,0,0,0,0
2026-04-01,1858788275666081,108685,74449,742,14,14,76872,1076208,9.9
2026-04-02,1854347729644690,581715,317056,6546,12,12,902335,10828020,18.61
2026-04-02,1854918885396689,227784,97176,3596,5,5,516385,2581925,11.33
2026-04-02,1856156648605858,99551,25384,1654,0,0,0,0,0
2026-04-02,1858788275666081,104012,83933,1417,8,8,390175,3121400,30.01
2026-04-03,1854347729644690,486941,180372,5587,3,3,1209333,3627999,7.45
2026-04-03,1854918885396689,238711,76055,3496,6,6,510040,3060240,12.82
2026-04-03,1856156648605858,99487,40820,1048,2,2,1084000,2168000,21.79
2026-04-03,1856728035726529,0,0,0,0,0,0,0,0
2026-04-03,1858788275666081,84823,85103,651,5,5,315280,1576400,18.58
2026-04-04,1854347729644690,600000,273663,23806,7,7,1084857,7593999,12.66
2026-04-04,1854918885396689,249303,115360,1751,0,0,0,0,0
2026-04-04,1856156648605858,99009,49355,1505,0,0,0,0,0
2026-04-04,1856728035726529,0,0,0,0,0,0,0,0
2026-04-04,1858788275666081,101846,63957,1314,1,1,485000,485000,4.76
2026-04-05,1854347729644690,484139,316593,22034,6,6,86146609,516879654,1067.63
2026-04-05,1854918885396689,195963,113256,596,0,0,0,0,0
2026-04-05,1856156648605858,100099,38982,1085,1,1,53000,53000,0.53
2026-04-05,1856728035726529,0,0,0,0,0,0,0,0
2026-04-05,1858788275666081,100174,59483,1246,1,1,459000,459000,4.58
2026-04-06,1854347729644690,330529,179053,11317,15,15,50000,750000,2.27
2026-04-06,1854918885396689,345000,183549,1824,4,4,190746,762984,2.21
2026-04-06,1856156648605858,100235,43398,931,0,0,0,0,0
2026-04-06,1856728035726529,0,0,0,0,0,0,0,0
2026-04-06,1858788275666081,100189,38851,1023,0,0,0,0,0
2026-04-07,1854347729644690,593697,186664,12653,7,7,259991,1819937,3.07
2026-04-07,1854918885396689,287734,131747,1350,2,2,556000,1112000,3.86
