report_date,campaign_id,spend,impressions,clicks,conversion,cta_conversion,vta_conversion,complete_payment,value_per_complete_payment,derived_complete_payment_value,complete_payment_roas,cta_purchase,evta_purchase,vta_purchase,cost_per_cta_purchase,cost_per_evta_purchase,cost_per_vta_purchase
2026-04-28,1854347729644690,248187,67907,556,4,0,3,4,247825,991300,3.99,0,0,0,0,0,0
2026-04-28,1854918885396689,133102,75840,173,1,0,1,1,245000,245000,1.84,0,0,0,0,0,0
2026-04-28,1856156648605858,58949,60161,1446,2,1,1,2,315400,630800,10.7,0,0,0,0,0,0
2026-04-28,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-28,1858788275666081,60647,46377,1591,2,1,1,2,234000,468000,7.72,0,0,0,0,0,0
2026-04-29,1854347729644690,80430,17180,234,1,0,1,1,234000,234000,2.91,0,0,0,0,0,0
2026-04-29,1854918885396689,50068,26955,71,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29,1856156648605858,19996,3527,498,1,1,0,1,245000,245000,12.25,0,0,0,0,0,0
2026-04-29,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-29,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,1854347729644690,80128,36934,2389,2,0,2,2,444550,889100,11.1,0,0,0,0,0,0
2026-04-30,1854918885396689,50132,25002,98,1,0,1,1,234000,234000,4.67,0,0,0,0,0,0
2026-04-30,1856156648605858,20051,14511,646,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
