report_date,campaign_id,spend,impressions,clicks,conversion,cta_conversion,vta_conversion,complete_payment,value_per_complete_payment,derived_complete_payment_value,complete_payment_roas,cta_purchase,evta_purchase,vta_purchase,cost_per_cta_purchase,cost_per_evta_purchase,cost_per_vta_purchase
2026-04-18,1854347729644690,475687,149623,1527,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-18,1854918885396689,323449,134011,1493,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-18,1856156648605858,99645,39827,4531,1,1,0,1,405000,405000,4.06,0,0,0,0,0,0
2026-04-18,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-18,1858788275666081,99615,37288,1726,1,1,0,1,485000,485000,4.87,0,0,0,0,0,0
2026-04-19,1854347729644690,480487,107736,1144,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-19,1854918885396689,276237,99207,1730,2,0,0,2,62626,125252,0.45,0,0,0,0,0,0
2026-04-19,1856156648605858,100082,42564,3979,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-19,1858788275666081,100122,59355,2173,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,1854347729644690,481122,164812,2592,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,1854918885396689,276571,129106,1687,2,0,2,2,143350,286700,1.04,0,0,0,0,0,0
2026-04-20,1856156648605858,99807,35065,3721,1,1,0,1,245000,245000,2.45,0,0,0,0,0,0
2026-04-20,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-20,1858788275666081,100074,36992,2088,2,1,1,2,221790,443580,4.43,0,0,0,0,0,0
2026-04-21,1854347729644690,480488,179355,2599,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-21,1854918885396689,276271,114402,999,1,0,0,1,510000,510000,1.85,0,0,0,0,0,0
2026-04-21,1856156648605858,100175,35700,3000,1,0,0,1,484500,484500,4.84,0,0,0,0,0,0
2026-04-21,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-21,1858788275666081,100042,51536,1514,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-22,1854347729644690,480719,163147,3019,1,0,0,1,471200,471200,0.98,0,0,0,0,0,0
2026-04-22,1854918885396689,276527,119679,778,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-22,1856156648605858,100508,49063,2342,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-22,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-22,1858788275666081,112086,81649,1958,1,0,1,1,245000,245000,2.19,0,0,0,0,0,0
2026-04-23,1854347729644690,320671,95995,808,2,0,1,2,234000,468000,1.46,0,0,0,0,0,0
2026-04-23,1854918885396689,200176,102100,390,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23,1856156648605858,75047,25396,2660,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23,1858788275666081,80025,30696,2814,2,2,0,2,162080,324160,4.05,0,0,0,0,0,0
2026-04-24,1854347729644690,319926,112811,713,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-24,1854918885396689,200061,94174,112,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-24,1856156648605858,75300,20171,2689,1,1,0,1,245000,245000,3.25,0,0,0,0,0,0
2026-04-24,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-24,1858788275666081,79443,22052,1618,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-25,1854347729644690,318212,118707,349,1,0,0,1,260000,260000,0.82,0,0,0,0,0,0
2026-04-25,1854918885396689,199582,109789,195,2,0,2,2,1090000,2180000,10.92,0,0,0,0,0,0
2026-04-25,1856156648605858,74653,35204,2940,1,0,0,1,471200,471200,6.31,0,0,0,0,0,0
2026-04-25,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-25,1858788275666081,80532,28981,2797,1,1,0,1,107000,107000,1.33,0,0,0,0,0,0
