report_date,campaign_id,spend,impressions,clicks,conversion,cta_conversion,vta_conversion,complete_payment,value_per_complete_payment,derived_complete_payment_value,complete_payment_roas,cta_purchase,evta_purchase,vta_purchase,cost_per_cta_purchase,cost_per_evta_purchase,cost_per_vta_purchase
2026-04-23,1854347729644690,320671,95995,808,2,0,1,2,234000,468000,1.46,0,0,0,0,0,0
2026-04-23,1854918885396689,200176,102100,390,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23,1856156648605858,75047,25396,2660,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-23,1858788275666081,80025,30696,2814,2,2,0,2,162080,324160,4.05,0,0,0,0,0,0
2026-04-24,1854347729644690,319926,112811,713,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-24,1854918885396689,200061,94174,112,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-24,1856156648605858,75300,20171,2689,1,1,0,1,245000,245000,3.25,0,0,0,0,0,0
2026-04-24,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-24,1858788275666081,79443,22052,1618,0,0,0,0,0,0,0,0,0,0,0,0,0
