report_date,campaign_id,spend,impressions,clicks,conversion,cta_conversion,vta_conversion,complete_payment,value_per_complete_payment,derived_complete_payment_value,complete_payment_roas,cta_purchase,evta_purchase,vta_purchase,cost_per_cta_purchase,cost_per_evta_purchase,cost_per_vta_purchase
2026-05-19,1854347729644690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19,1854918885396689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19,1856156648605858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20,1854347729644690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20,1854918885396689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20,1856156648605858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-21,1854347729644690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-21,1854918885396689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-21,1856156648605858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-21,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-21,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22,1854347729644690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22,1854918885396689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22,1856156648605858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22,1856728035726529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22,1858788275666081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
